Designator,Footprint,Quantity,Value,LCSC Part #
"_4, _3, _2, ",Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,4,Fiducial_1mm_Dia_2.54mm_Outer_CopperTop,
"C1, C2, C4",0402,3,0.1uF, C1525
C3,0402,1,4.7nF,C1538
C5,CP_Radial_D5.0mm_P2.50mm,1,1uF,
D2,0603,1,LED_WHITE,C2290
D3,0805,1,LED_BLUE,C34499
D4,0805,1,LED_GREEN,C2297
D5,0805,1,LED_YELLOW,C2296
"D6, D7",0603,2,LED_RED,C2286
"D8, D9",D_SOD-882,2,D_TVS,C294611
J1,DIN-5-MIDI-JACK,1,DIN-5_180degree,
J3,PinHeader_1x13_P2.54mm_Vertical,1,Conn_01x14_Pin,
"R1, R10, R11, R2, R3, R4, R5, R8, R9",0402,9,220R,C25091
R6,0402,1,100K,C25741
R7,0805,1,3.9K,C17614
U1,SOT-23-5,1,SN74LVC1G07DBVR,C7829
U3,DIP-8_W7.62mm,1,LMC555xM,
